"country","country isocode","year","cgdp","cc","cg","ci"
"Brazil","BRA","1970","951.39807341","65.589378276","10.368306876","24.446601586"
"Brazil","BRA","1971","1087.9083878","65.999101892","10.495624697","25.191131575"
"Brazil","BRA","1972","1245.8830943","64.887589755","10.228176706","26.419600232"
"Brazil","BRA","1973","1476.9154554","62.980249313","9.8465728234","28.290082487"
"Brazil","BRA","1974","1686.6006062","65.128137874","10.273446524","29.952450178"
"Brazil","BRA","1975","1886.6902488","62.604428445","9.7828796873","31.2603865"
"Brazil","BRA","1976","2190.7870793","62.564970669","9.6317189463","30.080047561"
"Brazil","BRA","1977","2387.8068007","62.911405677","9.7823813997","27.939223805"
"Brazil","BRA","1978","2605.8481894","62.748961809","9.8579359298","28.533309451"
"Brazil","BRA","1979","2945.941821","64.228133746","9.94314988","27.836317552"
"Brazil","BRA","1980","3491.8049217","61.766332313","9.7222663462","28.511401341"
"Brazil","BRA","1981","3444.2692529","62.858635866","10.037143386","27.104220748"
"Brazil","BRA","1982","3594.6750938","64.429066736","10.492457804","25.078475461"
"Brazil","BRA","1983","3487.8019428","66.084453468","10.665519164","21.606895532"
"Brazil","BRA","1984","3749.0825068","64.530806887","9.810131152","20.467809288"
"Brazil","BRA","1985","3931.2707709","63.385084677","9.9866818765","21.615380171"
"Brazil","BRA","1986","4396.148001","63.604006434","10.189084062","23.827645849"
"Brazil","BRA","1987","4536.5291993","62.839819127","10.431571971","23.496101458"
"Brazil","BRA","1988","4589.9093883","62.051061865","10.285602392","22.486365497"
"Brazil","BRA","1989","4612.3243037","68.711608544","7.7245712201","20.426297026"
"Brazil","BRA","1990","4531.3341102","67.201078889","11.334842357","19.682771621"
"Brazil","BRA","1991","4664.0342346","66.807057072","11.717007137","20.644614046"
"Brazil","BRA","1992","4709.1479646","66.866749796","11.699330231","18.977202106"
"Brazil","BRA","1993","4884.5276111","67.038550808","11.757272792","19.742961288"
"Brazil","BRA","1994","5196.4431048","67.497751123","11.187965654","20.848433088"
